ID	Traditional	Pinyin	Variants
B1L01-I-12	這	zhè / zhèi	這 [zhè] / 這 [zhèi]
B1L01-I-18	臺灣（＝台灣）	Táiwān	臺灣 [Táiwān] / 台灣 [Táiwān]
B1L01-II-12	哪	nǎ / něi	哪 [nǎ] / 哪 [něi]
B1L01-II-19	哪國	nǎ guó / něi guó	哪國 [nǎ guó] / 哪國 [něi guó]
B1L04-II-10	那	nà / nèi	那 [nà] / 那 [nèi]
B1L08-II-09	故宮博物院（故宮）	Gùgōng Bówùyuàn	故宮博物院 [Gùgōng Bówùyuàn] / 故宮 [Gùgōng]
B1L08-II-11	公共汽車（公車）	gōnggòng qìchē	公共汽車 [gōnggòng qìchē] / 公車 [gōngchē]
B1L09-I-01	星期 + number	xīngqí	星期 [xīngqí]
B1L09-II-01	女 + noun	nǚ	女 [nǚ]
B1L09-II-02	number + 月	yuè	月 [yuè]
B1L09-II-03	number + 號	hào	號 [hào]
B1L10-II-08	男 + noun	nán	男 [nán]
B1L13-I-06	忘（了）	wàngle	忘了 [wàngle] / 忘 [wàng]
B2L01-I-17	那邊	nàbiān / nèibiān	那邊 [nàbiān] / 那邊 [nèibiān]
B2L01-I-18	師大（師範大學）	Shīdà (Shīfàn Dàxué)	師大 [Shīdà] / 師範大學 [Shīfàn Dàxué]
B2L14-II-24	企業管理系（企管系）	qìyè guǎnlǐ xì	企業管理系 [qìyè guǎnlǐ xì] / 企管系 [qìguǎnxì]
B3L08-II-46	EMBA（高級管理人員工商管理碩士）	EMBA (gāojí guǎnlǐ rényuán gōngshāng guǎnlǐ shuòshì)	高級管理人員工商管理碩士 [gāojí guǎnlǐ rényuán gōngshāng guǎnlǐ shuòshì]
B3L08-II-49	X 分之 Y	X fēn zhī Y	分之 [fēn zhī]
B3L09-II-24	（台）斤	(Tái) jīn	台斤 [Táijīn] / 斤 [jīn]
B4L10-II-26	提不起（勇氣）	tíbùqǐ (yǒngqì)	提不起勇氣 [tíbùqǐ yǒngqì] / 提不起 [tíbùqǐ]
B5L02-I-30	好幾（種）	hǎojǐ zhǒng	好幾種 [hǎojǐ zhǒng] / 好幾 [hǎojǐ]
B5L07-I-06	（一）大半	(yí) dàbàn	一大半 [yí dàbàn] / 大半 [dàbàn]
B6L01-III-12	奮鬥（史）	fèndòu (shǐ)	奮鬥史 [fèndòu shǐ] / 奮鬥 [fèndòu]
B6L01-III-T-01	教部（＝教育部）	Jiāobù (= Jiāoyùbù)	教部 [Jiāobù] / 教育部 [Jiāoyùbù]
B6L02-I-0-02	鍥而不舍/捨	qiè'ér bùshě	鍥而不舍 [qiè'ér bùshě] / 鍥而不捨 [qiè'ér bùshě]
B6L02-II-26	固態光源（SSL）	gùtài guāngyuán	固態光源 [gùtài guāngyuán]
B6L02-II-32	發光二極體（LED）	fāguāng èrjítǐ	發光二極體 [fāguāng èrjítǐ]
B6L03-II-01	從（來）	cóng (lái)	從來 [cónglái] / 從 [cóng]
B6L03-II-02	不間斷（地）	bú jiànduàn (de)	不間斷地 [bú jiànduàn de] / 不間斷 [bú jiànduàn]
B6L03-II-27	加諸（在）	jiāzhū (zài)	加諸在 [jiāzhū zài] / 加諸 [jiāzhū]
B6L04-I-19	自顧自（地）	zìgùzì (de)	自顧自地 [zìgùzì de] / 自顧自 [zìgùzì]
B6L04-I-24	以致（於）	yǐzhì (yú)	以致於 [yǐzhì yú] / 以致 [yǐzhì]
B6L04-III-07	直覺（地）	zhíjué (de)	直覺地 [zhíjué de] / 直覺 [zhíjué]
B6L06-I-T-05	唐朝/代	Tángcháo/dài	唐朝 [Tángcháo] / 唐代 [Tángdài]
B6L08-I-07	申奧＝申請奧運	shēn'Ào (shēnqǐng Àoyùn)	申奧 [shēn'Ào] / 申請奧運 [shēnqǐng Àoyùn]
B6L08-II-32	有/無福消受	yǒu/wúfú xiāoshòu	有福消受 [yǒufú xiāoshòu] / 無福消受 [wúfú xiāoshòu]
B6L08-II-T-01	奧會＝奧林匹克委員會	Àohuì (Àolínpīkè wěiyuánhuì)	奧會 [Àohuì] / 奧林匹克委員會 [Àolínpīkè wěiyuánhuì]
B6L10-I-38	善（於）	shàn (yú)	善於 [shàn yú] / 善 [shàn]
